,Hospital,Tel_hospital,Body,Status,SentDate,Fecha,Dia,Mes,Hora,Messages,Direction,Appointment_msp,Appointment,Cancellation_msp,Cancelled,consult,Consult_Appoint,fail_HH_sms,Fail_HH,achieve_HH,Got_HH,Cupo,Full_turnos_obra_social,No_Relation,No_Correlation,has_error,Error_Interno,has_error_501,Error_501,falla_api_externo,Falla_Api_Externo,alta_dni,not_DNI,issue_name,Issue_Name,ask_kunan,Ask_Kunan,many_fallbacks_goto_hh,Many_Fallbacks_Goto_HH,From_anon,To_anon
0,Carra,whatsapp:+5493515266217,"Necesito tu DNI, por favor.",delivered,2022-03-01 20:59:58+00:00,2022-03-01,1,3,20,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,5047,6206
1,Carra,whatsapp:+5493515266217,Lo siento pero ese número no sería válido. Probá de nuevo.,delivered,2022-03-01 20:59:58+00:00,2022-03-01,1,3,20,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,5047,6206
2,Carra,whatsapp:+5493515266217,Tu sesión se ha reinciado por tiempo de inactividad. Voy a tener que pedirte tus datos nuevamente 📝,delivered,2022-03-01 20:59:58+00:00,2022-03-01,1,3,20,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,5047,6206
3,Carra,whatsapp:+5493515266217,XXXXXXXXXXXXXXXX,received,2022-03-01 20:59:57+00:00,2022-03-01,1,3,20,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,6467,4855
4,CityBell,whatsapp:+5492215137770,Para poder agendar tu turno necesito tu nombre y apellido.,read,2022-03-01 20:55:42+00:00,2022-03-01,1,3,20,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,['para poder agendar tu turno necesito tu nombre y apellido'],1,[],0,[],0,2624,3892
5,CityBell,whatsapp:+5492215137770,No puedo registrarte sin tu apellido.,read,2022-03-01 20:55:42+00:00,2022-03-01,1,3,20,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,2624,3892
6,CityBell,whatsapp:+5492215137770,XXXXXXXXXXXXXXX,received,2022-03-01 20:55:42+00:00,2022-03-01,1,3,20,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,4047,2519
7,CityBell,whatsapp:+5492215137770,Para poder agendar tu turno necesito tu nombre y apellido.,read,2022-03-01 20:55:34+00:00,2022-03-01,1,3,20,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,['para poder agendar tu turno necesito tu nombre y apellido'],1,[],0,[],0,2624,3892
8,Carra,whatsapp:+5493515266217,"Hola, soy el asistente virtual de Clinica Carra.  
   
Podés preguntarme información sobre Clinica Carra, o podés realizar alguna de estas acciones:
 ▪️ Sacar turno
 ▪️ Cancelar turno
 ▪️ Consultar mis turnos
 ▪️ Ayuda
 *Escribí la acción* que querés realizar.",read,2022-03-01 20:55:34+00:00,2022-03-01,1,3,20,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,5047,6219
9,Carra,whatsapp:+5493515266217," tu turno de GINECOLOGIA ha sido confirmado para la fecha 14/03/2022 a las 11:15 hrs, en Carrá, Bv. 9 de Julio 1501, S.Francisco, con Dr./Dra. Stilman Gustavo",read,2022-03-01 20:55:33+00:00,2022-03-01,1,3,20,1,outbound-api,[' ha sido confirmado'],1,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,5047,6219
10,CityBell,whatsapp:+5492215137770,Sacar turno,received,2022-03-01 20:55:32+00:00,2022-03-01,1,3,20,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,4047,2519
11,Carra,whatsapp:+5493515266217,Si,received,2022-03-01 20:55:31+00:00,2022-03-01,1,3,20,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,6480,4855
12,CityBell,whatsapp:+5492215137770,"Hola, soy el asistente virtual de Centro Medico de Diagnostico City Bell.  
   
Podés preguntarme información sobre Centro Medico de Diagnostico City Bell, o podés realizar alguna de estas acciones:
 ▪️ Sacar turno
 ▪️ Cancelar turno
 ▪️ Consultar mis turnos
 ▪️ Ayuda
 *Escribí la acción* que querés realizar.",read,2022-03-01 20:55:28+00:00,2022-03-01,1,3,20,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,2624,3892
13,CityBell,whatsapp:+5492215137770,XXXX,received,2022-03-01 20:55:28+00:00,2022-03-01,1,3,20,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,4047,2519
