,Hospital,Tel_hospital,Body,Status,SentDate,Fecha,Dia,Mes,Hora,Messages,Direction,Appointment_msp,Appointment,Cancellation_msp,Cancelled,consult,Consult_Appoint,fail_HH_sms,Fail_HH,achieve_HH,Got_HH,Cupo,Full_turnos_obra_social,No_Relation,No_Correlation,has_error,Error_Interno,has_error_501,Error_501,falla_api_externo,Falla_Api_Externo,alta_dni,not_DNI,issue_name,Issue_Name,ask_kunan,Ask_Kunan,many_fallbacks_goto_hh,Many_Fallbacks_Goto_HH,From_anon,To_anon
3500,CityBell,whatsapp:+5492215137770,Si,received,2022-02-16 15:15:22+00:00,2022-02-16,16,2,15,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,2897,1665
3501,Salud Consultorios,whatsapp:+5493515266230,2,received,2022-02-16 15:15:22+00:00,2022-02-16,16,2,15,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,3497,3360
3502,CityBell,whatsapp:+5492215137770,"¡Muchas gracias! Tus datos son:  
  XXXXXXXXXXXXXXXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXXXXXXXXXXXXXXX   Obra social: MEDICUS 
    Plan: PLAN CORPORATE Y FAMILY 
▫️ Si querés confirmar escribí SI 
▫️ Si querés cancelar escribí NO 
▫️ Si querés cambiar un dato indicame cual",read,2022-02-16 15:15:18+00:00,2022-02-16,16,2,15,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,1725,2816
3503,CityBell,whatsapp:+5492215137770,XXXXXXXXXXXXX,received,2022-02-16 15:15:17+00:00,2022-02-16,16,2,15,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,2897,1665
3504,CityBell,whatsapp:+5492215137770,"Necesito tu DNI, por favor.",read,2022-02-16 15:15:10+00:00,2022-02-16,16,2,15,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,1725,1598
3505,Salud Consultorios,whatsapp:+5493515266230,"*Escribe el número de la opción* que quieres elegir: 
 *1*- Cambiar mi obra social. 
 *2*- Buscar otro doctor de la misma especialidad. 
 *3*- Empezar de nuevo.",read,2022-02-16 15:15:10+00:00,2022-02-16,16,2,15,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,3464,3391
3506,Salud Consultorios,whatsapp:+5493515266230,"Lo siento, el/la especialista no atiende la obra social apross. Podés elegir una de las siguientes acciones:",read,2022-02-16 15:15:10+00:00,2022-02-16,16,2,15,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,3464,3391
3507,CityBell,whatsapp:+5492215137770,"¡Muchas gracias! Tus datos son:  
  XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXXXXXXXXXXXX   Obra social: I.O.M.A. ( AF. OBLIGATORIOS ) 
    Plan: GENERAL 
▫️ Si querés confirmar escribí SI 
▫️ Si querés cancelar escribí NO 
▫️ Si querés cambiar un dato indicame cual",read,2022-02-16 15:15:09+00:00,2022-02-16,16,2,15,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,1725,2915
3508,CityBell,whatsapp:+5492215137770,Ya te encontrás registrado.,read,2022-02-16 15:15:09+00:00,2022-02-16,16,2,15,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,1725,2915
3509,CityBell,whatsapp:+5492215137770,Sacar turno,received,2022-02-16 15:15:09+00:00,2022-02-16,16,2,15,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,1658,1665
3510,Salud Consultorios,whatsapp:+5493515266230,"*Escribe el número de la opción* que quieres elegir: 
 *1*- ● Turno: CARDIOLOGIA con Dr./Dra. RIVAS MIGUEL ANGEL el día 17/02/2022 a las 12:00 hrs en Tucumán 98 Esq.Bs.As., Villa Carlos Paz, .",read,2022-02-16 15:15:06+00:00,2022-02-16,16,2,15,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,3464,3130
3511,Salud Consultorios,whatsapp:+5493515266230,86,received,2022-02-16 15:15:06+00:00,2022-02-16,16,2,15,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,3497,3360
3512,CityBell,whatsapp:+5492215137770,XXXXXXXX,received,2022-02-16 15:15:05+00:00,2022-02-16,16,2,15,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,2999,1665
3513,Salud Consultorios,whatsapp:+5493515266230,Cancelar turno,received,2022-02-16 15:15:04+00:00,2022-02-16,16,2,15,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,3220,3360
3514,CityBell,whatsapp:+5492215137770,"Necesito tu número de teléfono, por favor. Con formato de código de país (549), característica y número. Por ejemplo: 5491234567890",read,2022-02-16 15:15:03+00:00,2022-02-16,16,2,15,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,1725,2816
3515,CityBell,whatsapp:+5492215137770,Ya te encontrás registrado.,read,2022-02-16 15:15:03+00:00,2022-02-16,16,2,15,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,1725,2816
3516,CityBell,whatsapp:+5492215137770,XXXXXXXX,received,2022-02-16 15:15:01+00:00,2022-02-16,16,2,15,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,2897,1665
3517,CityBell,whatsapp:+5492215137770,"*Escribe el número de la opción* que quieres elegir: 
 *1060*- Dr./Dra. GUILLEN, IGNACIO JOSE
 *1074*- Dr./Dra. MONTENEGRO, HUGO
 *1451*- Dr./Dra. MALDONADO, NICOLAS
 *1520*- Dr./Dra. CANCINOS, JORGE
 *1557*- Dr./Dra. ROGGIERO, RODRIGO
 *1558*- Dr./Dra. ARRONDO, GUILLERMO
 *1607*- Dr./Dra. ARRONDO, JOSE
 *1625*- Dr./Dra. POLI, JOSE LUIS
 *1942*- Dr./Dra. SONCINI, IGNACIO
 *1984*- Dr./Dra. BIZZARRI, PABLO DANIEL
 *0*- Volver atrás",read,2022-02-16 15:14:59+00:00,2022-02-16,16,2,15,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,1725,2657
3518,CityBell,whatsapp:+5492215137770,143,received,2022-02-16 15:14:59+00:00,2022-02-16,16,2,15,1,inbound,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,2731,1665
3519,CityBell,whatsapp:+5492215137770,"Necesito tu DNI, por favor.",read,2022-02-16 15:14:55+00:00,2022-02-16,16,2,15,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,1725,2915
3520,Salud Consultorios,whatsapp:+5493515266230,Hmm.. ese número no esta dentro las opciones ofrecidas. Probá de nuevo.,read,2022-02-16 15:14:55+00:00,2022-02-16,16,2,15,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,3464,3391
3521,Salud Consultorios,whatsapp:+5493515266230,"*Escribe el número de la opción* que quieres elegir: 
 *73*- Dr./Dra. MARZARI, MARIA CLARA
 *86*- Dr./Dra. MIR, MARIA SOLEDAD
 *0*- Volver atrás",read,2022-02-16 15:14:55+00:00,2022-02-16,16,2,15,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,3464,3391
3522,CityBell,whatsapp:+5492215137770,"Hola, soy el asistente virtual de Centro Medico de Diagnostico City Bell.  
   
Podés preguntarme información sobre Centro Medico de Diagnostico City Bell, o podés realizar alguna de estas acciones:
 ▪️ Sacar turno
 ▪️ Cancelar turno
 ▪️ Consultar mis turnos
 ▪️ Ayuda
 *Escribí la acción* que querés realizar.",read,2022-02-16 15:14:54+00:00,2022-02-16,16,2,15,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,1725,1598
3523,CityBell,whatsapp:+5492215137770,No encontré ningún turno asociado a la cuenta de XXXXXXXXXXXX,read,2022-02-16 15:14:54+00:00,2022-02-16,16,2,15,1,outbound-api,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,[],0,1725,1598
